reads_per_trefi,sync_cycles_threshold,row_base_offset,virt_addr,subch,rank,bg,bank,row,col,expected_hex,actual_hex
90,25000,195,0x4F1075C1,0,0,3,3,964,449,0xAF,0xA7
90,25000,195,0x4F1075CD,0,0,3,3,964,461,0x00,0x44
90,25000,196,0x431663B2,0,0,3,3,197,2546,0xAA,0xBA
90,25000,196,0x431663BA,0,0,3,3,197,2554,0xAA,0x2A
90,25000,245,0x43DADB91,0,0,3,3,246,2897,0xAF,0xAE
90,25000,245,0x43DADBA9,0,0,3,3,246,2921,0xAF,0x2F
90,25000,245,0x43DADBB9,0,0,3,3,246,2937,0xAF,0xEF
90,25000,57,0x4CEA674F,1,0,3,2,826,2447,0x00,0x40
90,25000,57,0x4CEA6773,1,0,3,2,826,2483,0xAA,0x8A
90,25000,243,0x4BD2C6C7,1,0,2,2,756,2887,0x00,0x08
90,25000,160,0x46866053,1,0,3,0,417,2451,0xAA,0x2A
90,25000,160,0x4686607F,1,0,3,0,417,2495,0x00,0x04
90,25000,192,0x47062CD2,1,0,3,0,449,2258,0xAA,0xBA
90,25000,192,0x47062CFE,1,0,3,0,449,2302,0x68,0x28
90,25000,60,0x40F6A849,0,0,7,2,61,2697,0xAF,0xAE
90,25000,60,0x40F6A85D,0,0,7,2,61,2717,0x00,0x01
90,25000,204,0x47363706,0,0,7,2,461,2182,0x68,0x60
90,25000,204,0x4736371A,0,0,7,2,461,2202,0xAA,0xA2
90,25000,156,0x4674F78E,0,0,3,0,413,974,0x68,0x6C
90,25000,156,0x4674F7B2,0,0,3,0,413,1010,0xAA,0xAE
90,25000,5,0x4C180C82,0,0,7,1,774,66,0xAA,0xAB
90,25000,5,0x4C180CB6,0,0,7,1,774,118,0x68,0x4A
90,25000,102,0x4D9E64C2,0,0,7,1,871,2498,0xAA,0xA2
90,25000,102,0x4D9E64D6,0,0,7,1,871,2518,0x68,0x2C
90,25000,124,0x49F6BCDA,0,0,7,1,637,2778,0xAA,0x2A
90,25000,16,0x48478FD2,0,0,3,2,529,3666,0xAA,0xBA
90,25000,16,0x48478FDE,0,0,3,2,529,3678,0x68,0x78
90,25000,88,0x4565D759,0,0,3,2,345,1817,0xAF,0x2F
90,25000,88,0x4565D769,0,0,3,2,345,1833,0xAF,0xA7
90,25000,162,0x468E4042,0,0,3,2,419,2306,0xAA,0xBA
90,25000,162,0x468E4062,0,0,3,2,419,2338,0xAA,0x2A
90,25000,50,0x40CCC716,0,0,7,3,51,790,0x68,0x78
90,25000,50,0x40CCC73A,0,0,7,3,51,826,0xAA,0xA8
90,25000,89,0x4D6A7BE3,1,0,7,2,858,2531,0xAA,0x2A
90,25000,89,0x4D6A7BF3,1,0,7,2,858,2547,0xAA,0x2A
90,25000,187,0x4AF2F95A,1,0,7,3,700,2970,0xAA,0xA2
90,25000,187,0x4AF2F966,1,0,7,3,700,2982,0x68,0x48
90,25000,187,0x4AF2F97E,1,0,7,3,700,3006,0x68,0x78
90,25000,24,0x44650704,0,0,7,0,281,1028,0x0A,0x02
90,25000,24,0x44650720,0,0,7,0,281,1056,0xD3,0x53
